item,period,quantity
FP1-001,2021-01-04,0.0
FP1-001,2021-01-11,3.0
FP1-001,2021-01-18,0.0
FP1-001,2021-01-25,0.0
FP1-001,2021-02-01,0.0
FP1-001,2021-02-08,2.0
FP1-001,2021-02-15,0.0
FP1-001,2021-02-22,0.0
FP1-001,2021-03-01,0.0
FP1-001,2021-03-08,0.0
FP1-001,2021-03-15,3.0
FP1-001,2021-03-22,0.0
FP1-001,2021-03-29,0.0
FP1-001,2021-04-05,0.0
FP1-001,2021-04-12,0.0
FP1-001,2021-04-19,3.0
FP1-001,2021-04-26,3.0
FP1-001,2021-05-03,2.0
FP1-001,2021-05-10,4.0
FP1-001,2021-05-17,0.0
FP1-001,2021-05-24,1.0
FP1-001,2021-05-31,0.0
FP1-001,2021-06-07,2.0
FP1-001,2021-06-14,1.0
FP1-001,2021-06-21,3.0
FP1-001,2021-06-28,4.0
FP1-001,2021-07-05,15.0
FP1-001,2021-07-12,6.0
FP1-001,2021-07-19,4.0
FP1-001,2021-07-26,5.0
FP1-001,2021-08-02,8.0
FP1-001,2021-08-09,12.0
FP1-001,2021-08-16,17.0
FP1-001,2021-08-23,15.0
FP1-001,2021-08-30,16.0
FP1-001,2021-09-06,10.0
FP1-001,2021-09-13,5.0
FP1-001,2021-09-20,7.0
FP1-001,2021-09-27,5.0
FP1-001,2021-10-04,6.0
FP1-001,2021-10-11,6.0
FP1-001,2021-10-18,4.0
FP1-001,2021-10-25,4.0
FP1-001,2021-11-01,2.0
FP1-001,2021-11-08,1.0
FP1-001,2021-11-15,2.0
FP1-001,2021-11-22,2.0
FP1-001,2021-11-29,3.0
FP1-001,2021-12-06,2.0
FP1-001,2021-12-13,1.0
FP1-001,2021-12-20,0.0
FP1-001,2021-12-27,1.0
FP1-001,2022-01-03,0.0
FP1-001,2022-01-10,0.0
FP1-001,2022-01-17,0.0
FP1-001,2022-01-24,0.0
FP1-001,2022-01-31,1.0
FP1-001,2022-02-07,1.0
FP1-001,2022-02-14,2.0
FP1-001,2022-02-21,0.0
FP1-001,2022-02-28,0.0
FP1-001,2022-03-07,0.0
FP1-001,2022-03-14,2.0
FP1-001,2022-03-21,8.0
FP1-001,2022-03-28,4.0
FP1-001,2022-04-04,0.0
FP1-001,2022-04-11,4.0
FP1-001,2022-04-18,1.0
FP1-001,2022-04-25,2.0
FP1-001,2022-05-02,4.0
FP1-001,2022-05-09,4.0
FP1-001,2022-05-16,1.0
FP1-001,2022-05-23,2.0
FP1-001,2022-05-30,4.0
FP1-001,2022-06-06,2.0
FP1-001,2022-06-13,5.0
FP1-001,2022-06-20,6.0
FP1-001,2022-06-27,4.0
FP1-001,2022-07-04,5.0
FP1-001,2022-07-11,6.0
FP1-001,2022-07-18,7.0
FP1-001,2022-07-25,7.0
FP1-001,2022-08-01,9.0
FP1-001,2022-08-08,10.0
FP1-001,2022-08-15,13.0
FP1-001,2022-08-22,15.0
FP1-001,2022-08-29,15.0
FP1-001,2022-09-05,12.0
FP1-001,2022-09-12,6.0
FP1-001,2022-09-19,6.0
FP1-001,2022-09-26,6.0
FP1-001,2022-10-03,7.0
FP1-001,2022-10-10,4.0
FP1-001,2022-10-17,4.0
FP1-001,2022-10-24,5.0
FP1-001,2022-10-31,7.0
FP1-001,2022-11-07,9.0
FP1-001,2022-11-14,8.0
FP1-001,2022-11-21,3.0
FP1-001,2022-11-28,5.0
FP1-001,2022-12-05,2.0
FP1-001,2022-12-12,3.0
FP1-001,2022-12-19,3.0
FP1-001,2022-12-26,2.0
FP1-001,2023-01-02,1.0
FP1-001,2023-01-09,5.0
FP1-001,2023-01-16,5.0
FP1-001,2023-01-23,5.0
FP1-001,2023-01-30,2.0
FP1-001,2023-02-06,6.0
FP1-001,2023-02-13,2.0
FP1-001,2023-02-20,1.0
FP1-001,2023-02-27,2.0
FP1-001,2023-03-06,2.0
FP1-001,2023-03-13,3.0
FP1-001,2023-03-20,5.0
FP1-001,2023-03-27,3.0
FP1-001,2023-04-03,6.0
FP1-001,2023-04-10,4.0
FP1-001,2023-04-17,3.0
FP1-001,2023-04-24,3.0
FP1-001,2023-05-01,6.0
FP1-001,2023-05-08,3.0
FP1-001,2023-05-15,10.0
FP1-001,2023-05-22,5.0
FP1-001,2023-05-29,6.0
FP1-001,2023-06-05,6.0
FP1-001,2023-06-12,4.0
FP1-001,2023-06-19,9.0
FP1-001,2023-06-26,4.0
FP1-001,2023-07-03,4.0
FP1-001,2023-07-10,6.0
FP1-001,2023-07-17,6.0
FP1-001,2023-07-24,12.0
FP1-001,2023-07-31,9.0
FP1-001,2023-08-07,15.0
FP1-001,2023-08-14,19.0
FP1-001,2023-08-21,19.0
FP1-001,2023-08-28,17.0
FP1-001,2023-09-04,10.0
FP1-001,2023-09-11,8.0
FP1-001,2023-09-18,9.0
FP1-001,2023-09-25,7.0
FP1-001,2023-10-02,6.0
FP1-001,2023-10-09,6.0
FP1-001,2023-10-16,9.0
FP1-001,2023-10-23,8.0
FP1-001,2023-10-30,5.0
FP1-001,2023-11-06,0.0
FP1-001,2023-11-13,6.0
FP1-001,2023-11-20,5.0
FP1-001,2023-11-27,5.0
FP1-001,2023-12-04,6.0
FP1-001,2023-12-11,4.0
FP1-001,2023-12-18,3.0
FP1-001,2023-12-25,8.0
FP1-002,2021-01-04,1.0
FP1-002,2021-01-11,2.0
FP1-002,2021-01-18,0.0
FP1-002,2021-01-25,1.0
FP1-002,2021-02-01,1.0
FP1-002,2021-02-08,3.0
FP1-002,2021-02-15,1.0
FP1-002,2021-02-22,0.0
FP1-002,2021-03-01,1.0
FP1-002,2021-03-08,1.0
FP1-002,2021-03-15,3.0
FP1-002,2021-03-22,2.0
FP1-002,2021-03-29,3.0
FP1-002,2021-04-05,6.0
FP1-002,2021-04-12,4.0
FP1-002,2021-04-19,4.0
FP1-002,2021-04-26,3.0
FP1-002,2021-05-03,4.0
FP1-002,2021-05-10,2.0
FP1-002,2021-05-17,2.0
FP1-002,2021-05-24,2.0
FP1-002,2021-05-31,2.0
FP1-002,2021-06-07,1.0
FP1-002,2021-06-14,1.0
FP1-002,2021-06-21,1.0
FP1-002,2021-06-28,1.0
FP1-002,2021-07-05,1.0
FP1-002,2021-07-12,3.0
FP1-002,2021-07-19,2.0
FP1-002,2021-07-26,2.0
FP1-002,2021-08-02,2.0
FP1-002,2021-08-09,3.0
FP1-002,2021-08-16,2.0
FP1-002,2021-08-23,5.0
FP1-002,2021-08-30,3.0
FP1-002,2021-09-06,3.0
FP1-002,2021-09-13,5.0
FP1-002,2021-09-20,3.0
FP1-002,2021-09-27,5.0
FP1-002,2021-10-04,6.0
FP1-002,2021-10-11,5.0
FP1-002,2021-10-18,6.0
FP1-002,2021-10-25,5.0
FP1-002,2021-11-01,6.0
FP1-002,2021-11-08,5.0
FP1-002,2021-11-15,4.0
FP1-002,2021-11-22,5.0
FP1-002,2021-11-29,3.0
FP1-002,2021-12-06,3.0
FP1-002,2021-12-13,3.0
FP1-002,2021-12-20,3.0
FP1-002,2021-12-27,3.0
FP1-002,2022-01-03,4.0
FP1-002,2022-01-10,4.0
FP1-002,2022-01-17,6.0
FP1-002,2022-01-24,5.0
FP1-002,2022-01-31,4.0
FP1-002,2022-02-07,0.0
FP1-002,2022-02-14,6.0
FP1-002,2022-02-21,5.0
FP1-002,2022-02-28,6.0
FP1-002,2022-03-07,5.0
FP1-002,2022-03-14,5.0
FP1-002,2022-03-21,5.0
FP1-002,2022-03-28,6.0
FP1-002,2022-04-04,7.0
FP1-002,2022-04-11,7.0
FP1-002,2022-04-18,0.0
FP1-002,2022-04-25,11.0
FP1-002,2022-05-02,6.0
FP1-002,2022-05-09,7.0
FP1-002,2022-05-16,6.0
FP1-002,2022-05-23,4.0
FP1-002,2022-05-30,5.0
FP1-002,2022-06-06,5.0
FP1-002,2022-06-13,5.0
FP1-002,2022-06-20,5.0
FP1-002,2022-06-27,5.0
FP1-002,2022-07-04,6.0
FP1-002,2022-07-11,6.0
FP1-002,2022-07-18,4.0
FP1-002,2022-07-25,5.0
FP1-002,2022-08-01,6.0
FP1-002,2022-08-08,6.0
FP1-002,2022-08-15,7.0
FP1-002,2022-08-22,7.0
FP1-002,2022-08-29,8.0
FP1-002,2022-09-05,7.0
FP1-002,2022-09-12,7.0
FP1-002,2022-09-19,9.0
FP1-002,2022-09-26,7.0
FP1-002,2022-10-03,7.0
FP1-002,2022-10-10,11.0
FP1-002,2022-10-17,9.0
FP1-002,2022-10-24,9.0
FP1-002,2022-10-31,9.0
FP1-002,2022-11-07,9.0
FP1-002,2022-11-14,7.0
FP1-002,2022-11-21,9.0
FP1-002,2022-11-28,7.0
FP1-002,2022-12-05,8.0
FP1-002,2022-12-12,7.0
FP1-002,2022-12-19,9.0
FP1-002,2022-12-26,8.0
FP1-002,2023-01-02,9.0
FP1-002,2023-01-09,7.0
FP1-002,2023-01-16,7.0
FP1-002,2023-01-23,7.0
FP1-002,2023-01-30,7.0
FP1-002,2023-02-06,7.0
FP1-002,2023-02-13,7.0
FP1-002,2023-02-20,8.0
FP1-002,2023-02-27,8.0
FP1-002,2023-03-06,9.0
FP1-002,2023-03-13,9.0
FP1-002,2023-03-20,8.0
FP1-002,2023-03-27,9.0
FP1-002,2023-04-03,10.0
FP1-002,2023-04-10,9.0
FP1-002,2023-04-17,10.0
FP1-002,2023-04-24,10.0
FP1-002,2023-05-01,9.0
FP1-002,2023-05-08,9.0
FP1-002,2023-05-15,8.0
FP1-002,2023-05-22,8.0
FP1-002,2023-05-29,8.0
FP1-002,2023-06-05,9.0
FP1-002,2023-06-12,8.0
FP1-002,2023-06-19,8.0
FP1-002,2023-06-26,8.0
FP1-002,2023-07-03,7.0
FP1-002,2023-07-10,11.0
FP1-002,2023-07-17,10.0
FP1-002,2023-07-24,9.0
FP1-002,2023-07-31,8.0
FP1-002,2023-08-07,8.0
FP1-002,2023-08-14,0.0
FP1-002,2023-08-21,8.0
FP1-002,2023-08-28,9.0
FP1-002,2023-09-04,10.0
FP1-002,2023-09-11,9.0
FP1-002,2023-09-18,10.0
FP1-002,2023-09-25,10.0
FP1-002,2023-10-02,12.0
FP1-002,2023-10-09,12.0
FP1-002,2023-10-16,12.0
FP1-002,2023-10-23,13.0
FP1-002,2023-10-30,11.0
FP1-002,2023-11-06,11.0
FP1-002,2023-11-13,11.0
FP1-002,2023-11-20,11.0
FP1-002,2023-11-27,13.0
FP1-002,2023-12-04,10.0
FP1-002,2023-12-11,9.0
FP1-002,2023-12-18,10.0
FP1-002,2023-12-25,11.0
FP1-003,2021-01-04,1.0
FP1-003,2021-01-11,0.0
FP1-003,2021-01-18,1.0
FP1-003,2021-01-25,0.0
FP1-003,2021-02-01,1.0
FP1-003,2021-02-08,1.0
FP1-003,2021-02-15,4.0
FP1-003,2021-02-22,0.0
FP1-003,2021-03-01,0.0
FP1-003,2021-03-08,0.0
FP1-003,2021-03-15,0.0
FP1-003,2021-03-22,0.0
FP1-003,2021-03-29,0.0
FP1-003,2021-04-05,0.0
FP1-003,2021-04-12,0.0
FP1-003,2021-04-19,2.0
FP1-003,2021-04-26,0.0
FP1-003,2021-05-03,1.0
FP1-003,2021-05-10,1.0
FP1-003,2021-05-17,1.0
FP1-003,2021-05-24,1.0
FP1-003,2021-05-31,0.0
FP1-003,2021-06-07,1.0
FP1-003,2021-06-14,2.0
FP1-003,2021-06-21,2.0
FP1-003,2021-06-28,2.0
FP1-003,2021-07-05,0.0
FP1-003,2021-07-12,1.0
FP1-003,2021-07-19,1.0
FP1-003,2021-07-26,1.0
FP1-003,2021-08-02,1.0
FP1-003,2021-08-09,1.0
FP1-003,2021-08-16,1.0
FP1-003,2021-08-23,2.0
FP1-003,2021-08-30,1.0
FP1-003,2021-09-06,0.0
FP1-003,2021-09-13,2.0
FP1-003,2021-09-20,2.0
FP1-003,2021-09-27,5.0
FP1-003,2021-10-04,1.0
FP1-003,2021-10-11,2.0
FP1-003,2021-10-18,3.0
FP1-003,2021-10-25,1.0
FP1-003,2021-11-01,2.0
FP1-003,2021-11-08,3.0
FP1-003,2021-11-15,2.0
FP1-003,2021-11-22,22.0
FP1-003,2021-11-29,9.0
FP1-003,2021-12-06,14.0
FP1-003,2021-12-13,13.0
FP1-003,2021-12-20,10.0
FP1-003,2021-12-27,4.0
FP1-003,2022-01-03,5.0
FP1-003,2022-01-10,3.0
FP1-003,2022-01-17,2.0
FP1-003,2022-01-24,3.0
FP1-003,2022-01-31,3.0
FP1-003,2022-02-07,2.0
FP1-003,2022-02-14,2.0
FP1-003,2022-02-21,2.0
FP1-003,2022-02-28,3.0
FP1-003,2022-03-07,5.0
FP1-003,2022-03-14,3.0
FP1-003,2022-03-21,4.0
FP1-003,2022-03-28,2.0
FP1-003,2022-04-04,3.0
FP1-003,2022-04-11,2.0
FP1-003,2022-04-18,3.0
FP1-003,2022-04-25,2.0
FP1-003,2022-05-02,4.0
FP1-003,2022-05-09,2.0
FP1-003,2022-05-16,3.0
FP1-003,2022-05-23,2.0
FP1-003,2022-05-30,3.0
FP1-003,2022-06-06,4.0
FP1-003,2022-06-13,3.0
FP1-003,2022-06-20,3.0
FP1-003,2022-06-27,2.0
FP1-003,2022-07-04,3.0
FP1-003,2022-07-11,2.0
FP1-003,2022-07-18,3.0
FP1-003,2022-07-25,5.0
FP1-003,2022-08-01,3.0
FP1-003,2022-08-08,4.0
FP1-003,2022-08-15,4.0
FP1-003,2022-08-22,2.0
FP1-003,2022-08-29,4.0
FP1-003,2022-09-05,4.0
FP1-003,2022-09-12,4.0
FP1-003,2022-09-19,4.0
FP1-003,2022-09-26,4.0
FP1-003,2022-10-03,3.0
FP1-003,2022-10-10,4.0
FP1-003,2022-10-17,3.0
FP1-003,2022-10-24,5.0
FP1-003,2022-10-31,3.0
FP1-003,2022-11-07,6.0
FP1-003,2022-11-14,3.0
FP1-003,2022-11-21,23.0
FP1-003,2022-11-28,12.0
FP1-003,2022-12-05,17.0
FP1-003,2022-12-12,16.0
FP1-003,2022-12-19,12.0
FP1-003,2022-12-26,5.0
FP1-003,2023-01-02,5.0
FP1-003,2023-01-09,6.0
FP1-003,2023-01-16,3.0
FP1-003,2023-01-23,5.0
FP1-003,2023-01-30,5.0
FP1-003,2023-02-06,5.0
FP1-003,2023-02-13,5.0
FP1-003,2023-02-20,6.0
FP1-003,2023-02-27,7.0
FP1-003,2023-03-06,4.0
FP1-003,2023-03-13,5.0
FP1-003,2023-03-20,4.0
FP1-003,2023-03-27,4.0
FP1-003,2023-04-03,6.0
FP1-003,2023-04-10,4.0
FP1-003,2023-04-17,5.0
FP1-003,2023-04-24,5.0
FP1-003,2023-05-01,7.0
FP1-003,2023-05-08,5.0
FP1-003,2023-05-15,5.0
FP1-003,2023-05-22,5.0
FP1-003,2023-05-29,5.0
FP1-003,2023-06-05,5.0
FP1-003,2023-06-12,5.0
FP1-003,2023-06-19,6.0
FP1-003,2023-06-26,6.0
FP1-003,2023-07-03,5.0
FP1-003,2023-07-10,5.0
FP1-003,2023-07-17,5.0
FP1-003,2023-07-24,5.0
FP1-003,2023-07-31,6.0
FP1-003,2023-08-07,4.0
FP1-003,2023-08-14,6.0
FP1-003,2023-08-21,4.0
FP1-003,2023-08-28,5.0
FP1-003,2023-09-04,7.0
FP1-003,2023-09-11,7.0
FP1-003,2023-09-18,5.0
FP1-003,2023-09-25,6.0
FP1-003,2023-10-02,5.0
FP1-003,2023-10-09,5.0
FP1-003,2023-10-16,6.0
FP1-003,2023-10-23,6.0
FP1-003,2023-10-30,5.0
FP1-003,2023-11-06,0.0
FP1-003,2023-11-13,10.0
FP1-003,2023-11-20,24.0
FP1-003,2023-11-27,13.0
FP1-003,2023-12-04,18.0
FP1-003,2023-12-11,18.0
FP1-003,2023-12-18,13.0
FP1-003,2023-12-25,8.0
FP1-004,2021-01-04,2.0
FP1-004,2021-01-11,1.0
FP1-004,2021-01-18,0.0
FP1-004,2021-01-25,1.0
FP1-004,2021-02-01,1.0
FP1-004,2021-02-08,0.0
FP1-004,2021-02-15,0.0
FP1-004,2021-02-22,5.0
FP1-004,2021-03-01,1.0
FP1-004,2021-03-08,5.0
FP1-004,2021-03-15,1.0
FP1-004,2021-03-22,4.0
FP1-004,2021-03-29,5.0
FP1-004,2021-04-05,4.0
FP1-004,2021-04-12,10.0
FP1-004,2021-04-19,10.0
FP1-004,2021-04-26,6.0
FP1-004,2021-05-03,4.0
FP1-004,2021-05-10,4.0
FP1-004,2021-05-17,0.0
FP1-004,2021-05-24,1.0
FP1-004,2021-05-31,5.0
FP1-004,2021-06-07,0.0
FP1-004,2021-06-14,0.0
FP1-004,2021-06-21,2.0
FP1-004,2021-06-28,1.0
FP1-004,2021-07-05,1.0
FP1-004,2021-07-12,0.0
FP1-004,2021-07-19,1.0
FP1-004,2021-07-26,0.0
FP1-004,2021-08-02,0.0
FP1-004,2021-08-09,0.0
FP1-004,2021-08-16,0.0
FP1-004,2021-08-23,0.0
FP1-004,2021-08-30,0.0
FP1-004,2021-09-06,2.0
FP1-004,2021-09-13,0.0
FP1-004,2021-09-20,2.0
FP1-004,2021-09-27,3.0
FP1-004,2021-10-04,6.0
FP1-004,2021-10-11,11.0
FP1-004,2021-10-18,10.0
FP1-004,2021-10-25,7.0
FP1-004,2021-11-01,6.0
FP1-004,2021-11-08,5.0
FP1-004,2021-11-15,5.0
FP1-004,2021-11-22,3.0
FP1-004,2021-11-29,3.0
FP1-004,2021-12-06,2.0
FP1-004,2021-12-13,2.0
FP1-004,2021-12-20,1.0
FP1-004,2021-12-27,3.0
FP1-004,2022-01-03,2.0
FP1-004,2022-01-10,1.0
FP1-004,2022-01-17,0.0
FP1-004,2022-01-24,0.0
FP1-004,2022-01-31,4.0
FP1-004,2022-02-07,5.0
FP1-004,2022-02-14,3.0
FP1-004,2022-02-21,4.0
FP1-004,2022-02-28,2.0
FP1-004,2022-03-07,5.0
FP1-004,2022-03-14,4.0
FP1-004,2022-03-21,5.0
FP1-004,2022-03-28,6.0
