item,period,forecast_quantity,lag
FP1-001,2023-01-02,2.5053483616261354,4
FP1-001,2023-01-09,2.910943672937811,4
FP1-001,2023-01-16,2.983661681698306,4
FP1-001,2023-01-23,2.1815164561542484,4
FP1-001,2023-01-30,1.2158680250869356,4
FP1-001,2023-02-06,4.274699882496957,4
FP1-001,2023-02-13,4.868525575843598,4
FP1-001,2023-02-20,4.976362662121149,4
FP1-001,2023-02-27,2.5619336695549833,4
FP1-001,2023-03-06,5.297300514018553,4
FP1-001,2023-03-13,2.7298435103361958,4
FP1-001,2023-03-20,1.3711632873723398,4
FP1-001,2023-03-27,1.8635071175982967,4
FP1-001,2023-04-03,1.9703698681807853,4
FP1-001,2023-04-10,2.77446278580728,4
FP1-001,2023-04-17,4.525445547458716,4
FP1-001,2023-04-24,3.3327144854110147,4
FP1-001,2023-05-01,5.397305207299716,4
FP1-001,2023-05-08,4.321744123910939,4
FP1-001,2023-05-15,3.303250158414155,4
FP1-001,2023-05-22,3.069609288918121,4
FP1-001,2023-05-29,5.320444805878909,4
FP1-001,2023-06-05,3.558319179912013,4
FP1-001,2023-06-12,8.327138548222415,4
FP1-001,2023-06-19,5.915810926418844,4
FP1-001,2023-06-26,5.975707776736283,4
FP1-001,2023-07-03,5.992908192405709,4
FP1-001,2023-07-10,4.581109813282242,4
FP1-001,2023-07-17,7.658267014622977,4
FP1-001,2023-07-24,5.16328207059485,4
FP1-001,2023-07-31,4.371883889557975,4
FP1-001,2023-08-07,5.472611484432221,4
FP1-001,2023-08-14,5.829498824991866,4
FP1-001,2023-08-21,10.042920036441878,4
FP1-001,2023-08-28,9.319575171421878,4
FP1-001,2023-09-04,13.191553120683833,4
FP1-001,2023-09-11,17.44954238972573,4
FP1-001,2023-09-18,18.606405747543995,4
FP1-001,2023-09-25,17.433860494664714,4
FP1-001,2023-10-02,11.98626523710697,4
FP1-001,2023-10-09,8.869776083319469,4
FP1-001,2023-10-16,8.970396063600358,4
FP1-001,2023-10-23,7.4556694003197155,4
FP1-001,2023-10-30,6.330596620762379,4
FP1-001,2023-11-06,6.074669396983638,4
FP1-001,2023-11-13,8.327003261724968,4
FP1-001,2023-11-20,8.075377463538246,4
FP1-001,2023-11-27,5.709895859169048,4
FP1-001,2023-12-04,1.2103786585070173,4
FP1-001,2023-12-11,4.881417777811149,4
FP1-001,2023-12-18,4.969831560307753,4
FP1-001,2023-12-25,4.992622371480811,4
FP1-002,2023-01-02,8.034055806234399,4
FP1-002,2023-01-09,7.71397984382543,4
FP1-002,2023-01-16,8.109167851104097,4
FP1-002,2023-01-23,8.076098077896628,4
FP1-002,2023-01-30,8.355576426795196,4
FP1-002,2023-02-06,7.947236995989099,4
FP1-002,2023-02-13,7.6607025041069345,4
FP1-002,2023-02-20,7.458872591895512,4
FP1-002,2023-02-27,7.315824329221511,4
FP1-002,2023-03-06,7.217683289028024,4
FP1-002,2023-03-13,7.149792165936733,4
FP1-002,2023-03-20,7.411350343706981,4
FP1-002,2023-03-27,7.590832736058053,4
FP1-002,2023-04-03,8.02292224739384,4
FP1-002,2023-04-10,8.332506174735268,4
FP1-002,2023-04-17,8.225342458779561,4
FP1-002,2023-04-24,8.467337856964315,4
FP1-002,2023-05-01,8.95421931281876,4
FP1-002,2023-05-08,8.968615934042422,4
FP1-002,2023-05-15,9.300836173469113,4
FP1-002,2023-05-22,9.531027397023259,4
FP1-002,2023-05-29,9.358229978597256,4
FP1-002,2023-06-05,9.243833610689524,4
FP1-002,2023-06-12,8.848282479142032,4
FP1-002,2023-06-19,8.576192929477255,4
FP1-002,2023-06-26,8.388020487693437,4
FP1-002,2023-07-03,8.5862974465581,4
FP1-002,2023-07-10,8.39770964114461,4
FP1-002,2023-07-17,8.270309616810973,4
FP1-002,2023-07-24,8.183369282756207,4
FP1-002,2023-07-31,7.798925451190447,4
FP1-002,2023-08-07,8.814177978277579,4
FP1-002,2023-08-14,9.193279332843407,4
FP1-002,2023-08-21,9.131654653752616,4
FP1-002,2023-08-28,8.774480548261606,4
FP1-002,2023-09-04,8.532074472988159,4
FP1-002,2023-09-11,5.723517730461385,4
FP1-002,2023-09-18,6.622533074403624,4
FP1-002,2023-09-25,7.332149734765464,4
FP1-002,2023-10-02,8.05937630710335,4
FP1-002,2023-10-09,8.318604907748293,4
FP1-002,2023-10-16,8.797901314603202,4
FP1-002,2023-10-23,9.164216300208631,4
FP1-002,2023-10-30,10.071304127213182,4
FP1-002,2023-11-06,10.750061330609084,4
FP1-002,2023-11-13,11.198285127695739,4
FP1-002,2023-11-20,11.859951082362219,4
FP1-002,2023-11-27,11.549289953632679,4
FP1-002,2023-12-04,11.361396345898358,4
FP1-002,2023-12-11,11.239055021845775,4
FP1-002,2023-12-18,11.158714190273592,4
FP1-002,2023-12-25,11.776586866946312,4
FP1-003,2023-01-02,14.754260256617123,4
FP1-003,2023-01-09,15.390215375427644,4
FP1-003,2023-01-16,13.725687737808807,4
FP1-003,2023-01-23,9.520897072477597,4
FP1-003,2023-01-30,7.047228807452647,4
FP1-003,2023-02-06,6.458214137621169,4
FP1-003,2023-02-13,4.593214252723145,4
FP1-003,2023-02-20,4.814425371286453,4
FP1-003,2023-02-27,4.913132335148396,4
FP1-003,2023-03-06,4.959298869492569,4
FP1-003,2023-03-13,4.980929819773412,4
FP1-003,2023-03-20,5.524064888007507,4
FP1-003,2023-03-27,6.308965798266366,4
FP1-003,2023-04-03,5.085028350599396,4
FP1-003,2023-04-10,5.040067813918254,4
FP1-003,2023-04-17,4.488583286230618,4
FP1-003,2023-04-24,4.228829977553449,4
FP1-003,2023-05-01,5.167450839093677,4
FP1-003,2023-05-08,4.549500850465331,4
FP1-003,2023-05-15,4.787587599434303,4
FP1-003,2023-05-22,4.899678722513477,4
FP1-003,2023-05-29,6.008824357672966,4
FP1-003,2023-06-05,5.4760572907939125,4
FP1-003,2023-06-12,5.225116664649903,4
FP1-003,2023-06-19,5.1064525503192755,4
FP1-003,2023-06-26,5.050338989728288,4
FP1-003,2023-07-03,5.023804163256442,4
FP1-003,2023-07-10,5.0112564473661045,4
FP1-003,2023-07-17,5.532445663437187,4
FP1-003,2023-07-24,5.778114337035595,4
FP1-003,2023-07-31,5.368320212462715,4
FP1-003,2023-08-07,5.174164067733314,4
FP1-003,2023-08-14,5.082362460837644,4
FP1-003,2023-08-21,5.038947334353829,4
FP1-003,2023-08-28,5.545553933151334,4
FP1-003,2023-09-04,4.757048217091251,4
FP1-003,2023-09-11,6.794850783577483,4
FP1-003,2023-09-18,6.757671481017097,4
FP1-003,2023-09-25,9.448399669774235,4
FP1-003,2023-10-02,5.67153552153434,4
FP1-003,2023-10-09,6.719360593633446,4
FP1-003,2023-10-16,7.5815819848294455,4
FP1-003,2023-10-23,5.677909742677926,4
FP1-003,2023-10-30,6.530295014756876,4
FP1-003,2023-11-06,7.62224171950944,4
FP1-003,2023-11-13,6.480348676761406,4
FP1-003,2023-11-20,22.26515681978103,4
FP1-003,2023-11-27,12.863758918949895,4
FP1-003,2023-12-04,17.241288880431053,4
FP1-003,2023-12-11,16.33898315391511,4
FP1-003,2023-12-18,13.513421046055846,4
FP1-003,2023-12-25,8.452975278301153,4
FP1-004,2023-01-02,2.990188545400824,4
FP1-004,2023-01-09,3.749553793804357,4
FP1-004,2023-01-16,4.679375700550496,4
FP1-004,2023-01-23,4.1742014065417035,4
