item,period,quantity
series_0_00000,2021-01-04,0.0
series_0_00000,2021-01-11,3.0
series_0_00000,2021-01-18,0.0
series_0_00000,2021-01-25,0.0
series_0_00000,2021-02-01,0.0
series_0_00000,2021-02-08,2.0
series_0_00000,2021-02-15,0.0
series_0_00000,2021-02-22,0.0
series_0_00000,2021-03-01,0.0
series_0_00000,2021-03-08,0.0
series_0_00000,2021-03-15,3.0
series_0_00000,2021-03-22,0.0
series_0_00000,2021-03-29,0.0
series_0_00000,2021-04-05,0.0
series_0_00000,2021-04-12,0.0
series_0_00000,2021-04-19,3.0
series_0_00000,2021-04-26,3.0
series_0_00000,2021-05-03,2.0
series_0_00000,2021-05-10,4.0
series_0_00000,2021-05-17,0.0
series_0_00000,2021-05-24,1.0
series_0_00000,2021-05-31,0.0
series_0_00000,2021-06-07,2.0
series_0_00000,2021-06-14,1.0
series_0_00000,2021-06-21,3.0
series_0_00000,2021-06-28,4.0
series_0_00000,2021-07-05,15.0
series_0_00000,2021-07-12,6.0
series_0_00000,2021-07-19,4.0
series_0_00000,2021-07-26,5.0
series_0_00000,2021-08-02,8.0
series_0_00000,2021-08-09,12.0
series_0_00000,2021-08-16,17.0
series_0_00000,2021-08-23,15.0
series_0_00000,2021-08-30,16.0
series_0_00000,2021-09-06,10.0
series_0_00000,2021-09-13,5.0
series_0_00000,2021-09-20,7.0
series_0_00000,2021-09-27,5.0
series_0_00000,2021-10-04,6.0
series_0_00000,2021-10-11,6.0
series_0_00000,2021-10-18,4.0
series_0_00000,2021-10-25,4.0
series_0_00000,2021-11-01,2.0
series_0_00000,2021-11-08,1.0
series_0_00000,2021-11-15,2.0
series_0_00000,2021-11-22,2.0
series_0_00000,2021-11-29,3.0
series_0_00000,2021-12-06,2.0
series_0_00000,2021-12-13,1.0
series_0_00000,2021-12-20,0.0
series_0_00000,2021-12-27,1.0
series_0_00000,2022-01-03,0.0
series_0_00000,2022-01-10,0.0
series_0_00000,2022-01-17,0.0
series_0_00000,2022-01-24,0.0
series_0_00000,2022-01-31,1.0
series_0_00000,2022-02-07,1.0
series_0_00000,2022-02-14,2.0
series_0_00000,2022-02-21,0.0
series_0_00000,2022-02-28,0.0
series_0_00000,2022-03-07,0.0
series_0_00000,2022-03-14,2.0
series_0_00000,2022-03-21,8.0
series_0_00000,2022-03-28,4.0
series_0_00000,2022-04-04,0.0
series_0_00000,2022-04-11,4.0
series_0_00000,2022-04-18,1.0
series_0_00000,2022-04-25,2.0
series_0_00000,2022-05-02,4.0
series_0_00000,2022-05-09,4.0
series_0_00000,2022-05-16,1.0
series_0_00000,2022-05-23,2.0
series_0_00000,2022-05-30,4.0
series_0_00000,2022-06-06,2.0
series_0_00000,2022-06-13,5.0
series_0_00000,2022-06-20,6.0
series_0_00000,2022-06-27,4.0
series_0_00000,2022-07-04,5.0
series_0_00000,2022-07-11,6.0
series_0_00000,2022-07-18,7.0
series_0_00000,2022-07-25,7.0
series_0_00000,2022-08-01,9.0
series_0_00000,2022-08-08,10.0
series_0_00000,2022-08-15,13.0
series_0_00000,2022-08-22,15.0
series_0_00000,2022-08-29,15.0
series_0_00000,2022-09-05,12.0
series_0_00000,2022-09-12,6.0
series_0_00000,2022-09-19,6.0
series_0_00000,2022-09-26,6.0
