parent_item,child_item,quantity_per
ITEM00001,ITEM00429,16
ITEM00002,ITEM00430,1
ITEM00003,ITEM00431,1
ITEM00004,ITEM00432,1
ITEM00005,ITEM00433,1
ITEM00006,ITEM00434,2
ITEM00003,ITEM00435,1
ITEM00007,ITEM00436,6
ITEM00008,ITEM00437,1
ITEM00009,ITEM00437,1
ITEM00010,ITEM00437,1
ITEM00011,ITEM00437,1
ITEM00012,ITEM00438,1
ITEM00013,ITEM00439,3
ITEM00004,ITEM00440,13
ITEM00014,ITEM00441,4
ITEM00015,ITEM00442,2
ITEM00016,ITEM00442,2
ITEM00007,ITEM00443,11
ITEM00007,ITEM00444,11
ITEM00017,ITEM00445,2
ITEM00007,ITEM00446,2
ITEM00018,ITEM00447,1
ITEM00008,ITEM00447,1
ITEM00009,ITEM00447,1
ITEM00010,ITEM00447,1
ITEM00011,ITEM00447,1
ITEM00017,ITEM00448,2
ITEM00011,ITEM00449,1
ITEM00008,ITEM00449,1
ITEM00009,ITEM00449,1
ITEM00010,ITEM00449,1
ITEM00008,ITEM00450,1
ITEM00009,ITEM00450,1
ITEM00010,ITEM00450,1
ITEM00011,ITEM00450,1
ITEM00006,ITEM00451,1
ITEM00019,ITEM00452,2
ITEM00020,ITEM00453,3
ITEM00021,ITEM00453,3
ITEM00022,ITEM00453,3
ITEM00015,ITEM00453,8
ITEM00016,ITEM00453,8
ITEM00023,ITEM00454,4
ITEM00024,ITEM00455,1
ITEM00007,ITEM00456,12
ITEM00025,ITEM00457,1
ITEM00025,ITEM00458,1
ITEM00007,ITEM00459,10
ITEM00026,ITEM00460,1
ITEM00027,ITEM00460,1
ITEM00028,ITEM00461,1
ITEM00029,ITEM00461,2
ITEM00026,ITEM00461,2
ITEM00015,ITEM00461,4
ITEM00030,ITEM00461,2
ITEM00027,ITEM00461,2
ITEM00016,ITEM00461,4
ITEM00031,ITEM00461,1
ITEM00032,ITEM00461,8
ITEM00032,ITEM00462,2
ITEM00033,ITEM00463,2
ITEM00034,ITEM00464,4
ITEM00035,ITEM00465,1
ITEM00036,ITEM00466,2
ITEM00036,ITEM00467,1
ITEM00002,ITEM00468,2
ITEM00002,ITEM00468,7
ITEM00037,ITEM00469,8
ITEM00004,ITEM00470,2
ITEM00038,ITEM00471,1
ITEM00039,ITEM00472,2
ITEM00040,ITEM00473,1
ITEM00041,ITEM00474,1
ITEM00042,ITEM00475,1
ITEM00043,ITEM00475,1
ITEM00044,ITEM00475,1
ITEM00002,ITEM00476,1
ITEM00045,ITEM00476,11
ITEM00012,ITEM00477,1
ITEM00046,ITEM00478,2
ITEM00014,ITEM00479,4
ITEM00004,ITEM00480,1
ITEM00032,ITEM00481,2
ITEM00032,ITEM00482,1
ITEM00032,ITEM00483,1
ITEM00032,ITEM00484,1
ITEM00032,ITEM00485,1
ITEM00032,ITEM00486,1
ITEM00032,ITEM00487,1
ITEM00032,ITEM00488,2
ITEM00032,ITEM00489,2
ITEM00020,ITEM00490,1
ITEM00033,ITEM00491,2
ITEM00040,ITEM00492,1
ITEM00002,ITEM00493,6
ITEM00006,ITEM00493,2
ITEM00038,ITEM00494,1
ITEM00038,ITEM00495,1
ITEM00037,ITEM00496,1
ITEM00003,ITEM00497,1
ITEM00005,ITEM00498,2
ITEM00001,ITEM00499,1
ITEM00001,ITEM00500,1
ITEM00005,ITEM00501,2
ITEM00047,ITEM00501,1
ITEM00001,ITEM00502,1
ITEM00001,ITEM00503,1
ITEM00013,ITEM00504,5
ITEM00046,ITEM00505,2
ITEM00046,ITEM00506,1
ITEM00046,ITEM00507,1
ITEM00037,ITEM00508,1
ITEM00013,ITEM00509,1
ITEM00037,ITEM00510,2
ITEM00037,ITEM00511,1
ITEM00040,ITEM00512,1
ITEM00040,ITEM00513,1
ITEM00001,ITEM00514,2
ITEM00040,ITEM00515,2
ITEM00048,ITEM00516,1
ITEM00049,ITEM00517,1
ITEM00037,ITEM00518,1
ITEM00050,ITEM00519,2
ITEM00046,ITEM00520,1
ITEM00051,ITEM00521,2
ITEM00041,ITEM00522,5
ITEM00051,ITEM00523,2
ITEM00051,ITEM00524,2
ITEM00051,ITEM00525,2
ITEM00051,ITEM00526,2
ITEM00051,ITEM00527,1
ITEM00007,ITEM00528,4
ITEM00038,ITEM00529,1
ITEM00037,ITEM00530,1
ITEM00037,ITEM00531,1
ITEM00052,ITEM00532,1617
ITEM00039,ITEM00533,1
ITEM00053,ITEM00534,605
ITEM00054,ITEM00534,157
ITEM00054,ITEM00535,55
ITEM00053,ITEM00536,22
ITEM00053,ITEM00537,1.1
ITEM00053,ITEM00538,51.7
ITEM00053,ITEM00539,303.6
ITEM00053,ITEM00540,168.3
ITEM00053,ITEM00541,2.2
