item,quantity,due_date
ITEM00198,3,2025-06-01
ITEM00030,2,2025-06-01
ITEM00066,3,2025-06-01
ITEM00150,5,2025-06-01
ITEM00199,5,2025-06-01
ITEM00186,2,2025-06-01
ITEM00273,3,2025-06-01
ITEM00417,2,2025-06-01
ITEM00266,3,2025-06-01
ITEM00406,3,2025-06-01
ITEM00264,2,2025-06-01
ITEM00344,5,2025-06-01
ITEM00099,3,2025-06-01
ITEM00009,2,2025-06-01
ITEM00371,5,2025-06-01
ITEM00067,2,2025-06-01
ITEM00207,4,2025-06-01
ITEM00240,4,2025-06-01
ITEM00141,3,2025-06-01
ITEM00302,2,2025-06-01
ITEM00355,5,2025-06-01
ITEM00190,3,2025-06-01
ITEM00208,5,2025-06-01
ITEM00400,5,2025-06-01
ITEM00060,2,2025-06-01
ITEM00031,2,2025-06-01
ITEM00087,2,2025-06-01
ITEM00020,3,2025-06-01
ITEM00399,3,2025-06-01
ITEM00149,4,2025-06-01
ITEM00177,5,2025-06-01
ITEM00388,3,2025-06-01
ITEM00297,4,2025-06-01
ITEM00040,2,2025-06-01
ITEM00418,5,2025-06-01
ITEM00007,4,2025-06-01
ITEM00010,3,2025-06-01
ITEM00222,3,2025-06-01
ITEM00325,2,2025-06-01
ITEM00296,3,2025-06-01
ITEM00032,3,2025-06-01
ITEM00270,4,2025-06-01
ITEM00139,3,2025-06-01
ITEM00129,2,2025-06-01
ITEM00026,4,2025-06-01
ITEM00049,5,2025-06-01
ITEM00291,2,2025-06-01
ITEM00407,3,2025-06-01
ITEM00034,3,2025-06-01
ITEM00243,4,2025-06-01
ITEM00191,3,2025-06-01
ITEM00378,4,2025-06-01
ITEM00029,5,2025-06-01
ITEM00144,3,2025-06-01
ITEM00379,3,2025-06-01
ITEM00269,5,2025-06-01
ITEM00241,4,2025-06-01
ITEM00343,4,2025-06-01
ITEM00017,4,2025-06-01
ITEM00122,3,2025-06-01
ITEM00008,2,2025-06-01
ITEM00097,3,2025-06-01
ITEM00396,5,2025-06-01
ITEM00375,3,2025-06-01
ITEM00033,2,2025-06-01
ITEM00037,2,2025-06-01
ITEM00003,5,2025-06-01
ITEM00299,5,2025-06-01
ITEM00224,5,2025-06-01
ITEM00260,3,2025-06-01
ITEM00096,2,2025-06-01
ITEM00090,4,2025-06-01
ITEM00137,3,2025-06-01
ITEM00195,2,2025-06-01
ITEM00298,3,2025-06-01
ITEM00035,4,2025-06-01
ITEM00303,5,2025-06-01
ITEM00335,3,2025-06-01
ITEM00212,5,2025-06-01
ITEM00145,4,2025-06-01
ITEM00128,2,2025-06-01
ITEM00419,5,2025-06-01
ITEM00012,5,2025-06-01
ITEM00140,5,2025-06-01
ITEM00328,4,2025-06-01
ITEM00142,5,2025-06-01
ITEM00293,4,2025-06-01
ITEM00336,4,2025-06-01
ITEM00210,5,2025-06-01
ITEM00259,4,2025-06-01
ITEM00213,4,2025-06-01
