item,production_lead_time
ITEM00395,3
ITEM00254,3
ITEM00275,1
ITEM00341,1
ITEM00342,3
ITEM00255,1
ITEM00125,3
ITEM00028,3
ITEM00124,1
ITEM00089,3
ITEM00059,1
ITEM00276,3
ITEM00277,3
ITEM00134,3
ITEM00278,2
ITEM00329,3
ITEM00256,3
ITEM00257,2
ITEM00330,2
ITEM00331,3
ITEM00374,3
ITEM00375,2
ITEM00078,2
ITEM00222,3
ITEM00332,2
ITEM00323,2
ITEM00324,2
ITEM00325,1
ITEM00381,2
ITEM02951,2
ITEM00020,3
ITEM00327,3
ITEM00328,2
ITEM00021,1
ITEM00102,2
ITEM00318,1
ITEM00053,2
ITEM00100,1
ITEM00319,2
ITEM00105,3
ITEM00200,3
ITEM00320,3
ITEM00119,2
ITEM00120,2
ITEM00321,1
ITEM00322,3
ITEM00101,3
ITEM00048,2
ITEM00315,3
ITEM00057,2
ITEM00068,3
ITEM00058,2
ITEM00052,1
ITEM00316,3
ITEM00317,3
ITEM00116,2
ITEM00386,2
ITEM00258,3
ITEM00117,1
ITEM00340,3
ITEM00005,3
ITEM00274,2
ITEM00051,2
ITEM00137,3
ITEM00040,1
ITEM00050,3
ITEM00047,2
ITEM00141,2
ITEM00389,1
ITEM00139,3
ITEM00241,2
ITEM00131,2
ITEM00017,3
ITEM00311,1
ITEM00312,2
ITEM00072,2
ITEM00391,3
ITEM00144,3
ITEM00014,3
ITEM00368,1
ITEM00091,2
ITEM00313,3
ITEM00084,1
ITEM00354,3
ITEM00380,3
ITEM00314,3
ITEM00305,3
ITEM00245,2
ITEM00306,2
ITEM00307,2
ITEM00242,2
ITEM00130,3
ITEM00142,2
ITEM00140,1
ITEM00308,3
ITEM00114,1
ITEM00358,2
ITEM00382,2
ITEM00041,1
ITEM00243,2
ITEM00383,2
ITEM00201,2
ITEM00244,1
ITEM00309,2
ITEM00310,3
ITEM00301,1
ITEM00379,1
ITEM00035,1
ITEM00079,2
ITEM00302,3
ITEM00239,1
ITEM00259,2
ITEM00303,1
ITEM00024,1
ITEM02952,2
ITEM00343,1
