parent_item,child_item,quantity_per
MCH0001,SUB00000002,1
MCH0001,SUB00000006,1
MCH0002,SUB00000003,1
MCH0002,SUB00000010,1
MCH0003,SUB00000003,1
MCH0003,SUB00000007,1
MCH0003,SUB00000012,1
MCH0004,SUB00000003,1
MCH0004,SUB00000007,1
MCH0004,SUB00000012,1
MCH0005,SUB00000004,1
MCH0005,SUB00000005,1
MCH0006,SUB00000003,1
MCH0006,SUB00000005,1
MCH0006,SUB00000009,1
MCH0007,SUB00000003,1
MCH0007,SUB00000006,1
MCH0007,SUB00000012,1
MCH0008,SUB00000003,1
MCH0008,SUB00000008,1
MCH0009,SUB00000004,1
MCH0009,SUB00000012,1
MCH0010,SUB00000003,1
MCH0010,SUB00000005,1
MCH0011,SUB00000003,1
MCH0011,SUB00000008,1
MCH0011,SUB00000012,1
MCH0012,SUB00000001,1
MCH0012,SUB00000007,1
MCH0012,SUB00000009,1
MCH0013,SUB00000004,1
MCH0014,SUB00000001,1
MCH0014,SUB00000008,1
MCH0014,SUB00000010,1
MCH0015,SUB00000003,1
MCH0015,SUB00000008,1
MCH0016,SUB00000001,1
MCH0016,SUB00000006,1
MCH0017,SUB00000004,1
MCH0017,SUB00000009,1
MCH0018,SUB00000002,1
MCH0018,SUB00000007,1
MCH0018,SUB00000012,1
MCH0019,SUB00000001,1
MCH0019,SUB00000005,1
MCH0019,SUB00000009,1
MCH0020,SUB00000002,1
MCH0020,SUB00000007,1
MCH0020,SUB00000011,1
MCH0021,SUB00000004,1
MCH0022,SUB00000002,1
MCH0022,SUB00000006,1
MCH0022,SUB00000010,1
MCH0023,SUB00000001,1
MCH0023,SUB00000008,1
MCH0023,SUB00000011,1
MCH0024,SUB00000001,1
MCH0024,SUB00000007,1
MCH0025,SUB00000004,1
MCH0025,SUB00000012,1
MCH0026,SUB00000003,1
MCH0026,SUB00000008,1
MCH0026,SUB00000011,1
MCH0027,SUB00000002,1
MCH0027,SUB00000012,1
MCH0028,SUB00000002,1
MCH0028,SUB00000011,1
MCH0029,SUB00000004,1
MCH0029,SUB00000008,1
MCH0029,SUB00000010,1
MCH0030,SUB00000004,1
MCH0030,SUB00000011,1
MCH0031,SUB00000001,1
MCH0031,SUB00000012,1
MCH0032,SUB00000001,1
MCH0032,SUB00000008,1
