product_item,quantity,due_date,parent_item,child_item,child_qty,child_due_date
MCH0001,1.0,2025-06-01,MCH0001,SUB00000002,1.0,2025-05-25
MCH0001,1.0,2025-06-01,MCH0001,SUB00000006,1.0,2025-05-25
MCH0001,1.0,2025-06-01,SUB00000002,SUB000000013,2.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,SUB000000018,2.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,SUB000000021,2.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,SUB000000027,2.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,CMP0018,7.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,CMP0715,6.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,CMP0153,8.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,CMP0197,3.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,CMP0363,2.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,CMP0389,5.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,CMP0058,4.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,CMP0176,3.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000002,CMP0512,1.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0294,4.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0515,8.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0715,7.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0537,2.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0363,8.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0274,5.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0081,8.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0471,2.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0250,7.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0232,5.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0083,2.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0096,4.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0387,3.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0512,3.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB00000006,CMP0340,6.0,2025-05-24
MCH0001,1.0,2025-06-01,SUB000000013,SUB0000000030,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,SUB0000000032,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,SUB0000000033,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0528,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0576,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0109,8.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0327,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0248,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0478,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0184,14.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0110,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0635,14.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0471,12.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0096,8.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000013,CMP0720,14.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,SUB0000000036,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,SUB0000000037,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0522,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0412,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0513,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0042,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0549,10.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0018,14.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0441,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0363,16.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0407,14.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0471,14.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0033,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000018,CMP0176,12.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,SUB0000000040,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,SUB0000000041,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0598,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0316,10.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0743,10.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0705,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0645,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0028,10.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0612,8.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0486,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0515,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0184,16.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0247,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0635,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0259,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0407,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0416,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0250,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0308,10.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0083,14.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0033,8.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0096,10.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0566,8.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0488,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0176,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0085,8.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0445,14.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000021,CMP0340,8.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,SUB0000000043,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,SUB0000000045,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0103,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0424,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0339,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0735,10.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0484,4.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0441,10.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0407,14.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0714,12.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0033,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0387,6.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0488,10.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB000000027,CMP0720,2.0,2025-05-23
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0181,24.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0038,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0407,18.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0153,30.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0635,42.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0383,42.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0666,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0096,36.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0387,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0488,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0058,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000030,CMP0653,42.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0657,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0557,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0537,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0506,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0018,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0635,32.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0363,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0416,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0308,24.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0666,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000032,CMP0653,32.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0116,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0339,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0167,4.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0749,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0470,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0664,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0294,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0153,24.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0540,32.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0407,32.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0081,4.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0701,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0083,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000033,CMP0778,28.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0310,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0597,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0741,4.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0587,2.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0012,2.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0018,10.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0715,10.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0691,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0416,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0232,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0096,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000036,CMP0058,4.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0477,18.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0315,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0164,18.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0416,18.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0549,42.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0691,30.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0110,30.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0363,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0407,24.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0666,36.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0033,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0096,6.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0653,24.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000037,CMP0661,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0064,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0561,12.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0518,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0208,4.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0587,8.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0550,16.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0154,4.0,2025-05-20
MCH0001,1.0,2025-06-01,SUB0000000040,CMP0197,24.0,2025-05-20
